@,di
ditrakter,ditraktir
ditrotoar,di trotoar
ditugu,di tugu
dituker,ditukar
ditukoke,dibelikan
ditukokno,dibelikan
ditumbasne,dibelikan
ditumpaki,dinaiki
diTunas,di tunas
ditunggu2,ditunggu-tunggu
ditungu,ditunggu
ditungu2,ditunggu-tunggu
ditunguin,ditunggu
ditunjukan,ditunjukkan
ditunjukin,ditunjukkan
diturunkn,diturunkan
diwarnet,di warnet
diweekend,di akhir pekan
diwolak,dibalik
djagain,dijaga
djemput,dijemput
dJkt,di Jakarta
djln,di jalan
dkasih,dikasih
dkat,dekat
dkatkan,dekatkan
alow,halo
dketan,dekat
dklinikk,di klinik
dkluarin,dikeluarkan
dkmps,di kampus
dkomplain,dikomplain
dksh,dikasih
dkt,dekat
dkung,dukung
dlakukan,dilakukan
dlakukn,dilakukan
dlanjutin,dilanjutkan
dliat,dilihat
dliburkan,diliburkan
"abal""",abal-abal
dlnjutin,dilanjutkan
dluan,duluan
dmainkan,dimainkan
dmakan,dimakan
dmam,demam
dmamX,demamnya
dman,dimana
dminta,diminta
ambl,ambil
abes,habis
dmna2,dimana-mana
dmnanya,dimananya
dmnnya,dimananya
dmno,dimana
dmnt,diminta
dmnya,dimananya
dmobil,di mobil
dmonas,di monas
dmtr,di motor
abg,abang
dnger,dengar
dnger2,denga-dengar
dnggo,dipakai
dngin,dingin
dnginan,dinginan
doain,doakan
doane,doanya
abis,habis
dolali,pada lupa
dolan,bermain
donload,unduh
donlod,unduh
dont,jangan
dpat,dapat
dpatkan,dapatkan
dpstikn,dipastikan
analisise,analisis
dripd,daripada
drmh,di rumah
anjir,anjing
anjrit,anjing
abizzz,habis
dsitu,disitu
dskolah,di sekolah
dsktr,di sekitar
dsmber,desember
abs,habis
dsno,disana
dsruh,disuruh
dtang,datang
acra,acara
dtgin,datangin
dturunkn,diturunkan
duitna,duitnya
during,selama
duwe,punya
duwit,duit
antar-instansi,antarinstansi
anter,antar
emoh,tidak mau
endiri,sendiri
endonesa,Indonesia
enelaan,beneran
engak,tidak
Antri,antre 
enggk,tidak
ad,ada
enough,cukup
enteng,ringan
enyak,enak
event,acara
every,setiap
everybody,semua orang
everything,segala sesuatu
everywhere,dimanapun
excelent,bagus
exit,keluar
face,muka
fact,fakta
failed,gagal
father,ayah
fee,biaya
ferari,ferrari
ap2,apa-apa
finally,akhirnya
focus,fokus
folback,follow back
folbacknya,follow back nya
folbc,follow back
folbcak,follow back
folbeknya,follow back nya
follback,follow back
follbacknya,follow back nya
follbc,follow back
follo,follow
followbak,follow back
folo,follow
folow,follow
folowback,follow back
folowbak,follow back
folowbcak,follow back
football,sepak bola
apaan,apa
forged,lupa
forget,lupa
forgot,lupa
friday,jumat
friend,teman
frofil,profil
function,fungsi
funny,lucu
funtion,fungsi
funy,lucu
apasih,apasih
gaakan,tidak akan
gaasik,tidak asik
gabareng,tidak bareng
gabebas,tidak bebas
gabeda,tidak beda
gaberani,tidak berani
gabilang,tidak bilang
gabole,tidak boleh
gaboleh,tidak boleh
gabosen,tidak bosen
gabs,tidak bisa
gad,tidak ada
apes,sial
gadaiin,gadaikan
Gadapet,tidak dapat
gadein,gadaikan
gadeket,tidak dekat
gadiajak,tidak diajak
gadibales,tidak dibalas
gae,membuat
gaean,pekerjaan
gaene,biasanya
aplot,unggah
gahoel,gaul
gahol,gaul
gaikut,tidak ikut
gaikutaaan,tidak ikutan
gaikutan,tidak ikutan
gaiso,tidak bisa
gajalan,tidak jalan
gajanji,tidak janji
gajauh,tidak jauh
Gajd,tidak jadi
Apotik,Apotek
gajenguk,tidak menjenguk
gakada,tidak ada
aps,apa
gakbilang,tidak bilang
gakbisa,tidak bisa
gakdeh,tidak deh
gakenak,tidak enak
gakjadi,tidak jadi
gakmau,tidak mau
gakpenting,tidak penting
gakpernah,tidak pernah
gaksabar,tidak sabar
gaksemua,tidak semua
gaksih,tidak sih
gaktau,tidak tau
gaktuh,tidah tuh
gamain,tidak main
gamales,tidak malas
gamao,tidak mau
gamasuk,tidak masuk
apva,apa
gamsk,tidak masuk
gamuat,tidak muat
gamungkin,tidak mungkin
gangajak,tidak mengajak
ganguin,gangguin
gantinen,ganti saja
gaosah,tidak usah
gapada,tidak pada
gapaham,tidak paham
gapercaya,tidak percaya
gaperlu,tidak perlu
gapo,tidak apa-apa
gapulang,tidak pulang
gasabar,tidak sabar
gasanggup,tidak sanggup
gasecerah,tidak secerah
gasedingin,tidak sedingin
gasekeras,tidak sekeras
gaseru,tidak seru
gasia2,tidak sia-sia
gasik,datang lebih awal
gasuka,tidak suka
gatel,gatal
gathel,gatal
gatuh,tidak tuh
gaush,tidak usah
gawake,bawakan
gawakne,bawakan
gayalu,gayamu
gbawa,tidak bawa
gbk,Gelora Bung Karno
aquwh,aku
gbsa,tidak bisa
asap,sesegeramungkin
gebetn,pasangan
geblek,bodoh
gede,besar
gedenya,besarnya
gedhe2an,besar-besaran
gelem,bersedia
asbun,asalbunyi
gendeng,bodoh
gendheng,bodoh
gendud,gemuk
geto,begitu
getoh,begitu
aseek,asyik
gimane,bagaimana
aseekk,asyik
gjd,tidak jadi
gjdi,tidak jadi
gjls,tidak jelas
gjnji,tidak janji
asek,asyik
gmbr,gambar
asekk,asik
gmne,bagaimana
goceng,lima ribu
godan,godaan
good luck,semoga berhasil
goodmorning,selamat pagi
goro2,gara-gara
gpplah,tidak apa-apalah
gra,gara-gara
grade,tingkat
aseknya,asyiknya
asem,asam
asoy,asyik
gueh,saya
guweh,saya
aspal,aslitetapipalsu
gy,sedang
hany,hanya
hape,hp
hapi,senang
astrojim,astagfirullahaladzim
happybday,selamat ulang tahun
hareem,perempuan
harg,harga
hargnya,harganya
hargonyo,harganya
hasek,asyik
hawong,lhawong
hbd,selamat ulang tahun
hdiah,hadiah
hdiahnya,hadiahnya
hdirkan,hadirkan
adaa,ada
heng,error
hidp,hidup
hidpmu,hidupmu
hinga,hingga
hmpas,hempas
ade,ada
hntu,hantu
astul,asaltulis
Hoam,ngantuk
honest,jujur
hrapan,harapan
ath,kalaubegitu
hrgnya,harganya
atlit,Atlet
hrz,harus
hsil,hasil
hsl,hasil
htelnya,hotelnya
htiku,hatiku
hungry,lapar
ibdah,ibadah
adengan,adegan
Atmosfir,Atmosfer
ijo,hijau
iki,ini
ikt,ikut
iktan,ikutan
iktn,ikutan
ikud,ikut
img,gambar
inbox,kotak masuk
inceran,incaran
include,termasuk
indh,indah
infonya,informasinya
information,informasi
informkan,informasikan
infox,informasinya
adenya,adeknya
inginya,inginnya
ingtn,ingatan
inovation,inovasi
inpo,informasi
inpoh,informasi
insaallah,insyaAllah
insyaa,insyaAllah
insyaaloh,insyaAllah
insyah,insyaAllah
insyalah,insyaAllah
intrnet,internet
invit,mengajak
invite,mengajak
invte,mengajak
io,iya
ireng,hitam
iseh,masih
isih,masih
isin,malu
isine,isinya
iso,bisa
adl,adalah
istrht,istirahat
isuk,pagi
atuh,kalaubegitu
iyadah,iya dah
iyadeh,iya dah
iyadong,iya dong
iyadund,iya dong
iyanih,iya nih
iyasih,iya sih
iyaw,iya
iyedah,iya dah
iyelah,iyalah
iyeu,iya
ava,avatar
iyosih,iya sih
adlh,adalah
iyuwh,iya
awak,saya
jadina,jadinya
jadinye,jadinya
aws,awas
jadwalnye,jadwalnya
jahate,jahatnya
jakrta,Jakarta
jaksel,Jakarta Selatan
jaktim,Jakarta Timur
jalankn,jalankan
jalanya,jalannya
jamanna,jamannya
jamanny,jamannya
jamany,jamannya
jamanya,jamannya
jamanye,jamannya
jangn,jangan
japan,jepang
jare,kata
jaringanx,jaringannya
jaringn,jaringan
jateng,Jawa Tengah
jaz,jazz
ay,sayang
jdian,jadian
jenenge,namanya
jenengi,beri nama
jep,jeep
ayang,sayang
jgja,jogja
jht,jahat
ayok,ayo
jkrt,Jakarta
aduhh,aduh
azas,asas
jlan2,jalan-jalan
jlas,jelas
jls,jelas
jmbatan,jembatan
jmbtan,jembatan
jmin,jamin
jmlh,jumlah
jmn,jaman
jmpa,jumpa
jmpe,jumpa
jmpt,jemput
jmptnya,jemputnya
jo,jangan
jobseeker,pencari kerja
jri,jari
jringan,jaringan
jringn,jaringan
jrngn,jaringan
jtuh,jatuh
jua,juga
jug,juga
jugaj,juga
aduhhh,aduh
jugo,juga
b,bb
jwbanny,jawabannya
jwbannya,jawabannya
jwbany,jawabannya
kabare,kabarnya
kabeh,semua
kadieu,kesini
kaditu,kesitu
b4,sebelum
kagk,tidak
kakean,kebanyakan
bacot,banyakbicara
ae,saja
kapolres,Kepala Kepolisian Resor
karepmu,terserah kamu
karo,sama
kaseep,ganteng
bakalan,akan
katane,katanya
katany,katanya
agk,agak
kbagusan,kebagusan
kbare,kabarnya
kbarin,kabari
kbeh,semua
kbeli,terbeli
kberngktn,keberangkatan
kbhagiaan,kebahagiaan
kbhagian,kebahagiaan
kbrin,kabari
kbrnya,kabarnya
kbtulan,kebetulan
kbuka,terbuka
kbun,kebun
kcepatn,kecepatan
kcintaan,kecintaan
kcintan,kecintaan
kclakaan,kecelakaan
kclakan,kecelakaan
